date_time,customer_id,amount,rep_month,repayment_type
27-JUN-24 07.16.36.000000000 AM,683131338d401fda38410a808797b7706bc3e364d0fe77098599032aed112ce6,500.65,202406,Automatic
27-JUN-24 05.26.50.000000000 PM,56a41251185bd205961556399289804607ccc66039283745f48b0e9cd2716a16,2833.33,202406,Automatic
27-JUN-24 06.45.40.000000000 PM,000e57e83f161e4ba6458b3e32c00815405c5a005e652b6dd5d30ee664767130,143.98,202406,Automatic
27-JUN-24 01.24.57.000000000 PM,f3606d5ac9a89e0251a60d7183a09bc742eba2e36882af0ca0440f9e7b213b92,1000,202406,Automatic
27-JUN-24 01.31.44.000000000 PM,f3606d5ac9a89e0251a60d7183a09bc742eba2e36882af0ca0440f9e7b213b92,801,202406,Manual
27-JUN-24 03.26.42.000000000 PM,ea3d553b28fefa3db6d878f7965bed756cadcc75eab9a4bd56251b71daae8f8d,0.32,202406,Automatic
27-JUN-24 01.20.04.000000000 PM,9612a7e1860338e51c8c17b4c6277b6fcff6673b365b8aab650f82383d5ca025,1400,202406,Automatic
27-JUN-24 09.05.37.000000000 AM,8a24dbc61bfc131ce97747b67a8cf95dc864b1da40a271514ae8d234d3606183,99,202406,Automatic
04-JUN-24 08.01.56.000000000 AM,a8de7aea5bc9ad59ce83e55cae10964da3b11e93482292e56a7b28d9c0468ed2,470,202406,Manual
04-JUN-24 07.55.36.000000000 PM,012b01b0a23e9edc57cc2b7632d0973ab6eaff6ad4e9e8d74a78190d9f54d545,1309.95,202406,Manual
09-JUN-24 06.40.38.000000000 PM,5d52b15dcbad5c3d9470e8ed2f9452e47be3df07cc77eddc8da69cd5248bb852,690,202406,Manual
04-JUN-24 04.32.58.000000000 PM,bc5c49a446d1cf3255340f444fc9f8bae5f81d4812d364c33c03d8e6f4c36560,300,202406,Manual
04-JUN-24 12.15.23.000000000 PM,53f3edaa618ac87635ed4b99564100750501ea67dadd6c4f01f54259c76fce18,1.02,202406,Automatic
04-JUN-24 06.49.15.000000000 PM,69c89b1d49d4ad2f92981adbf80c7a30bc9019bb17baf333c1e966de38f1c734,58.11,202406,Automatic
04-JUN-24 10.47.10.000000000 AM,7c14e4d3164f372fd867c2be179b4f952c119545e87fb95ba51ecdcadd12271e,1672.13,202406,Manual
04-JUN-24 06.38.29.000000000 PM,7e16841e4d4fb5cc96978b5d66aa89a8ac2fa8bc5d6e7d4a96624a55592e88cc,41.26,202406,Automatic
04-JUN-24 02.45.25.000000000 PM,b39e1cf44fad4619f1262142ea6025daec6d64d093c8ecb0e83c799efdd5e762,12.89,202406,Automatic
04-JUN-24 10.25.26.000000000 AM,7c14e4d3164f372fd867c2be179b4f952c119545e87fb95ba51ecdcadd12271e,836.67,202406,Automatic
27-JUN-24 06.50.57.000000000 AM,683131338d401fda38410a808797b7706bc3e364d0fe77098599032aed112ce6,579.26,202406,Automatic
04-JUN-24 04.55.25.000000000 PM,f454fe90624a2898d5398f69ac9caa2785749554dde936ece9f80ef55bc37f59,5.36,202406,Automatic
04-JUN-24 11.19.23.000000000 AM,8e8c3c46550241b19356d8539f578b79f26a8ac5550de388c6f3213a7738efed,3392.5,202406,Manual
04-JUN-24 05.24.29.000000000 PM,212d39bd366e152e33a81601e74be372f1473aa57fbd90aaba7902a62fec0b62,1000,202406,Manual
04-JUN-24 08.03.43.000000000 AM,a8de7aea5bc9ad59ce83e55cae10964da3b11e93482292e56a7b28d9c0468ed2,6,202406,Manual
04-JUN-24 08.09.10.000000000 AM,a8de7aea5bc9ad59ce83e55cae10964da3b11e93482292e56a7b28d9c0468ed2,0.46,202406,Automatic
28-JUN-24 05.47.09.000000000 PM,6c2bfa1b708b2e2fdd55d530b3b31c4bfe7abd6856b89762a5c2d86382d42d31,25.96,202406,Automatic
28-JUN-24 07.39.59.000000000 PM,6b8bcadf237fef45df4bb6b01072718be59facc62eec0bc793175107404062b5,216.04,202406,Automatic
28-JUN-24 11.48.42.000000000 AM,42f05fd84c7427660877f2bad0b9834e465e1f9651cc409e6b06d46afe2f02e3,1426.67,202406,Automatic
28-JUN-24 05.34.06.000000000 PM,13a59f061f1d9af09e1666bf138ba2072e4e9dd01575bb24ae52ad13e157aa3f,112,202406,Manual
28-JUN-24 08.19.23.000000000 AM,b37745832c1bf3054e848f30b4b29ca7598d9148f930777999c183f41964a31f,134.4,202406,Automatic
28-JUN-24 11.50.39.000000000 AM,7e16841e4d4fb5cc96978b5d66aa89a8ac2fa8bc5d6e7d4a96624a55592e88cc,112.9,202406,Automatic
04-JUN-24 08.01.04.000000000 PM,08e3e16502626ab7e42b978afa44cbb3fa0ad69e03da383cb13c857b91a31acd,78.4,202406,Manual
28-JUN-24 11.23.27.000000000 AM,0766f315befbf707c3b18675553298dd15964b6c5c7a13fb0b32280c1b9eac58,89.6,202406,Manual
28-JUN-24 11.17.33.000000000 PM,1121ae55a74fd0cd4e95018504fb2011fb9cd24b727c9e8249cc313f3acac35d,169.26,202406,Manual
28-JUN-24 12.00.36.000000000 PM,4af900511646f264f168c2ffd395b04654e37ab016b8a4da512b2cdf799ebe0b,3994.55,202406,Automatic
28-JUN-24 08.47.50.000000000 AM,86dfd2c1b2e46cc79bee72745b35e48cbe3c06fc827916af5fadd8bb5ec511e1,1537.51,202406,Automatic
28-JUN-24 09.02.58.000000000 PM,c4fd8344f18ae45d220de1222c36a62b8446b16ff209c2f73cfa5ce3b6833ab1,1.33,202406,Manual
28-JUN-24 05.59.07.000000000 PM,ce2b65a7db06446c2483a724bfe4652ac3d0edeafba3ff5fddaf9a9174df0d16,150,202406,Manual
28-JUN-24 11.25.25.000000000 AM,bdf0dad555425e1a8fc3b6ff6af7c1b64361f59db2cd4d55bff858e648c03211,4024.97,202406,Automatic
28-JUN-24 09.10.22.000000000 AM,bdf0dad555425e1a8fc3b6ff6af7c1b64361f59db2cd4d55bff858e648c03211,0.03,202406,Automatic
28-JUN-24 04.21.15.000000000 PM,1790dc6c30b31ce970b8698023183e9f208f8dfc494163f90867627fabd554ad,2.54,202406,Automatic
28-JUN-24 05.25.19.000000000 PM,ca93010108b7d15441516dd31eac91d94f5600fa0df8fbd124310f4f67c8214e,0.7,202406,Automatic
28-JUN-24 09.12.41.000000000 AM,0024e99c9aa8106f28ba1980730ef6ab1649591a43ac831b1eeba29a4be5563b,410,202406,Automatic
28-JUN-24 03.22.54.000000000 PM,8db64a645d4bdf464c8573fb32f87bf78e9f40b8a3516cdacf9aae8e0205a012,70,202406,Automatic
28-JUN-24 07.39.35.000000000 AM,4af900511646f264f168c2ffd395b04654e37ab016b8a4da512b2cdf799ebe0b,30.45,202406,Automatic
28-JUN-24 06.22.07.000000000 PM,f454fe90624a2898d5398f69ac9caa2785749554dde936ece9f80ef55bc37f59,141.84,202406,Automatic
28-JUN-24 11.16.20.000000000 PM,1121ae55a74fd0cd4e95018504fb2011fb9cd24b727c9e8249cc313f3acac35d,86.67,202406,Automatic
28-JUN-24 12.29.43.000000000 PM,42f05fd84c7427660877f2bad0b9834e465e1f9651cc409e6b06d46afe2f02e3,2489.35,202406,Manual
06-JUN-24 08.10.55.000000000 PM,46b7be9ac2927867ac9d72fdd46f15ddad7a3d1d9a45d2e8e0ef1cd356ceaf12,165,202406,Manual
12-JUN-24 01.21.33.000000000 PM,514dc8e2f55eabe81f1bf53b39d5578c6b3eeb760956674427093131bbf1f8ff,220,202406,Manual
28-JUN-24 11.51.02.000000000 AM,7e16841e4d4fb5cc96978b5d66aa89a8ac2fa8bc5d6e7d4a96624a55592e88cc,173.22,202406,Manual
28-JUN-24 11.50.33.000000000 AM,7e16841e4d4fb5cc96978b5d66aa89a8ac2fa8bc5d6e7d4a96624a55592e88cc,166.85,202406,Automatic
28-JUN-24 11.11.56.000000000 PM,1121ae55a74fd0cd4e95018504fb2011fb9cd24b727c9e8249cc313f3acac35d,1.07,202406,Automatic
28-JUN-24 05.12.13.000000000 PM,e61615719404b34075120ec20f88a877ec033c199c4b5430a40f130c60e52a6b,300,202406,Automatic
28-JUN-24 07.47.28.000000000 PM,51f31c6b64d7c730f55d222c6d506bff59347c2ff538a5812e207442e6b299e9,50,202406,Manual
28-JUN-24 04.56.58.000000000 PM,36decc23e9006455b12dc2fa876691452ebdd8cf0fd0faf5657fb5fae0a543b2,220,202406,Automatic
12-JUN-24 03.05.39.000000000 PM,3d4abe9e829de78035eba9d30ec57fe8fa189e06bc8a689b854e6918288f3ab8,2.68,202406,Automatic
12-JUN-24 05.03.17.000000000 PM,59350992d391488f1b439fc191489a5310876d2ca6ccb48ce2c343e567bf646d,168.89,202406,Automatic
12-JUN-24 08.03.06.000000000 PM,57ca2b7e35024b0986b6446285da1f22673989da84e548863aa4c56bc7052840,374.24,202406,Automatic
12-JUN-24 05.04.21.000000000 PM,59350992d391488f1b439fc191489a5310876d2ca6ccb48ce2c343e567bf646d,194.86,202406,Manual
12-JUN-24 11.38.43.000000000 AM,e360ec6c06b33b689a986fe3f03348479181016a3d5274ee4a43f3c52aee8ab6,134.77,202406,Manual
12-JUN-24 05.02.42.000000000 PM,d163d1e83e467f3af0ed26349d467289445970ba77782162f13cad107479f800,565.09,202406,Manual
